Identifier,Type,AttributeType,Sequence,Displayable,Searchable,Comparable,Facetable,STOREDISPLAY,Merchandisable,AttributeField1,AttributeField2,AttributeField3,LanguageId,Name,Description,SecondaryDescription,AssociatedKeyword,Field1,Footnote,UnitOfMeasure,Store,HeaderName,MultiLang,MultiValue,MinOcurrences,MaxLength,LkupType,AttrValPrefix,LkupTableName,SequencingEnabled,FacetableMultiSelect
EMR Power Cord Attached,STRING,1,2336,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Power Cord Attached,EMR Power Cord Attached,,,,,,EMR,Power Cord Attached,TRUE,1,,50,LOOKUP_TABLE,Attribute_Dictionary_Defining_Attributes_All_EMR_Extended_Attributes,Power Cord Attached Lookup Table,TRUE,TRUE
EMR Inlet x Outlet Size,STRING,2,2337,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Inlet x Outlet Size,EMR Inlet x Outlet Size,,,,,,EMR,Inlet x Outlet Size,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Relay Outputs,STRING,2,2342,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Relay Outputs,EMR Relay Outputs,,,,,,EMR,Relay Outputs,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Superheat Control,STRING,2,2345,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Superheat Control,EMR Superheat Control,,,,,,EMR,Superheat Control,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Programmable Inputs,STRING,2,2346,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Programmable inputs,EMR Programmable Inputs,,,,,,EMR,Programmable Inputs,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Analog Outputs,STRING,2,2347,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Analog outputs,EMR Analog Outputs,,,,,,EMR,Analog Outputs,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Temperature Range,STRING,2,2348,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Temperature Range,EMR Temperature Range,,,,,,EMR,Temperature Range,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Color,STRING,2,2349,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Color,EMR Color,,,,,,EMR,Color,TRUE,50,0,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR RoHS,STRING,1,2352,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,RoHS,EMR RoHS,,,,,,EMR,RoHS,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,RoHS Lookup Table,TRUE,FALSE
EMR Locale,STRING,1,2355,TRUE,FALSE,FALSE,FALSE,,TRUE,,,,-1,Locale,EMR Locale,,,,,,EMR,Locale,FALSE,50,1,5,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,TRUE,FALSE
EMR Location,STRING,1,2358,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Location,EMR Location,,,,,,EMR,Location,TRUE,5,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Location Lookup Table,TRUE,TRUE
EMR Fan Diameter,STRING,2,2359,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Diameter,EMR Fan Diameter,,,,,,EMR,Diameter,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Light Fixture Adaptable,STRING,1,2360,TRUE,TRUE,FALSE,FALSE,,TRUE,,,,-1,Light Fixture Adaptable,EMR Light Fixture Adaptable,,,,,,EMR,Light Fixture Adaptable,TRUE,5,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Light Fixture Lookup Table,TRUE,FALSE
EMR Control Type Included,STRING,1,2361,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Control Type Included,EMR Control Type Included,,,,,,EMR,Control Type Included,TRUE,1,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Control Type Included Lookup Table,TRUE,TRUE
EMR Mounting Options,STRING,1,2362,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Mounting Options,EMR Mounting Options,,,,,,EMR,Mounting Options,TRUE,1,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Mounting Options Lookup Table,TRUE,TRUE
EMR Room Size,STRING,1,2363,TRUE,TRUE,FALSE,FALSE,,TRUE,,,,-1,Room Size,EMR Room Size,,,,,,EMR,Room Size,TRUE,5,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Room Size Lookup Table,TRUE,FALSE
EMR Motor Type,STRING,1,2364,TRUE,TRUE,FALSE,FALSE,,TRUE,,,,-1,Motor Type,EMR Motor Type,,,,,,EMR,Motor Type,TRUE,1,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Motor Type Lookup Table,TRUE,FALSE
EMR Dimming Capability,STRING,1,2365,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Dimming Capability,EMR Dimming Capability,,,,,,EMR,Dimming Capability,TRUE,1,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Dimming Capability Lookup Table,TRUE,TRUE
EMR Blade Finish,STRING,1,2366,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Blade Finish,EMR Blade Finish,,,,,,EMR,Blade Finish,TRUE,50,,250,LOOKUP_TABLE,Attribute_Dictionary_Defining_Attributes_All_EMR_Extended_Attributes,Blade Finish Lookup Table,TRUE,TRUE
EMR Blade Collection,STRING,1,2367,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Blade Collection,EMR Blade Collection,,,,,,EMR,Blade Collection,TRUE,1,,250,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Blade Collection Lookup Table,TRUE,TRUE
EMR Energy Star Rated,STRING,1,2368,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Energy Star Rated,EMR Energy Star Rated,,,,,,EMR,Energy Star Rated,TRUE,1,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Energy Star Rated Lookup Table,TRUE,TRUE
EMR Compatible with Sloped Ceiling Kit,STRING,1,2369,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Compatible with Sloped Ceiling Kit,EMR Compatible with Sloped Ceiling Kit,,,,,,EMR,Compatible with Sloped Ceiling Kit,TRUE,1,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Compatible with Sloped Ceiling Kit Lookup Table,TRUE,TRUE
EMR Registerable,STRING,1,2370,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,Registerable,EMR Registerable,,,,,,EMR,Registerable,TRUE,1,,6,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Registerable Lookup Table,TRUE,FALSE
EMR Filter Type,STRING,1,2371,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Filter Type,EMR Filter Type,,,,,,EMR,Filter Type,TRUE,50,,2000,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Filter Type Lookup Table,TRUE,TRUE
EMR Fits,STRING,2,2372,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Fits,EMR Fits,,,,,,EMR,Fits,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Product Category,STRING,1,2373,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Product Category,EMR Product Category,,,,,,EMR,Product Category,TRUE,50,,2000,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Product Category Lookup Table,TRUE,TRUE
EMR Sequence,STRING,2,2375,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Sequence,EMR Sequence,,,,,,EMR,Sequence,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Accessory Size,STRING,1,2376,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Accessory Size,EMR Accessory Size,,,,,,EMR,Accessory Size,TRUE,10,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Accessory Size Lookup Table,TRUE,FALSE
EMR sourceERP,STRING,2,2379,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,sourceERP,EMR sourceERP,,,,,,EMR,sourceERP,TRUE,1,,30,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR isOversized,STRING,1,2380,TRUE,FALSE,FALSE,FALSE,,TRUE,,,,-1,isOversized,EMR isOversized,,,,,,EMR,isOversized,FALSE,1,,5,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR priceOnlyCart,STRING,1,2382,TRUE,FALSE,TRUE,FALSE,,TRUE,,,,-1,priceOnlyInCart,EMR priceOnlyCart,,,,,,EMR,priceOnlyCart,FALSE,1,,5,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR oiAdditionalInput,STRING,2,2383,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,oiAdditionalInput,EMR oiAdditionalInput,,,,,,EMR,oiAdditionalInput,FALSE,1,,30,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Division ID,STRING,2,2389,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Division ID,EMR Division ID,,,,,,EMR,Division ID,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Drawing Format,STRING,2,2390,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Drawing Format,EMR Drawing Format,,,,,,EMR,Drawing Format,FALSE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR ARRA Compliant,STRING,1,2391,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,ARRA Compliant,EMR ARRA Compliant,,,,,,EMR,ARRA Compliant,FALSE,1,,6,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Trade Compliant,STRING,1,2392,TRUE,TRUE,FALSE,FALSE,,TRUE,,,,-1,Trade Compliant,EMR Trade Compliant,,,,,,EMR,Trade Compliant,FALSE,1,,6,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Internals,STRING,1,2398,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Internals,EMR Internals,,,,,,EMR,Internals,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Internals Lookup Table,TRUE,TRUE
EMR Rotor Type,STRING,1,2399,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Rotor Type,EMR Rotor Type,,,,,,EMR,Rotor Type,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Rotor Type Lookup Table,TRUE,TRUE
EMR Part Type,STRING,1,2400,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Part Type,EMR Part Type,,,,,,EMR,Part Type,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Part Type Lookup Table,TRUE,TRUE
EMR Pressure Rating,STRING,1,2405,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Pressure Rating,EMR Pressure Rating,,,,,,EMR,Pressure Rating,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Pressure Rating Lookup Table,TRUE,TRUE
EMR Transducer Assembly,STRING,1,2406,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Transducer Assembly,EMR Transducer Assembly,,,,,,EMR,Transducer Assembly,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Transducer Assembly Lookup Table,TRUE,TRUE
EMR Trim,STRING,1,2408,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Trim,EMR Trim,,,,,,EMR,Trim,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Trim Lookup Table,TRUE,TRUE
EMR Flow Conditioning,STRING,1,2409,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Flow Conditioning,EMR Flow Conditioning,,,,,,EMR,Flow Conditioning,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Flow Conditioning Lookup Table,TRUE,TRUE
EMR Pipe Schedule,STRING,1,2411,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Pipe Schedule,EMR Pipe Schedule,,,,,,EMR,Pipe Schedule,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Pipe Schedule Lookup Table,TRUE,TRUE
EMR Seal Material,STRING,1,2419,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Seal Material,EMR Seal Material,,,,,,EMR,Seal Material,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Seal Material Lookup Table,TRUE,TRUE
EMR Connection Type,STRING,1,2425,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Connection Type,EMR Connection Type,,,,,,EMR,Connection Type,TRUE,50,,75,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Connection Type Lookup Table,TRUE,TRUE
EMR Discharge Size,STRING,1,2427,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Discharge Size,EMR Discharge Size,,,,,,EMR,Discharge Size,TRUE,50,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Discharge Size Lookup Table,TRUE,TRUE
EMR View in OPI CTA,STRING,2,2428,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,View in OPI,EMR View in OPI CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR View Performance Data CTA,STRING,2,2429,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,View Performance Data,EMR View Performance Data CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Grind Chambers Capacity,STRING,1,2431,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,Grind Chamber Capacity,EMR Grind Chambers Capacity,,,,,,EMR,Grind Chamber Capacity,TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Grind Chambers Capacity Lookup Table,TRUE,TRUE
EMR Handle Type,STRING,1,2432,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Handle Type,EMR Handle Type,,,,,,EMR,Handle Type,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Handle Type Lookup Table,TRUE,TRUE
EMR Warranty,STRING,2,2441,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,Warranty,EMR Warranty,,,,,,EMR,Warranty,TRUE,1,,150,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Preconfigured Model String1,STRING,2,2444,TRUE,FALSE,TRUE,FALSE,,FALSE,,,,-1,Pre-configured Model String1,EMR Preconfigured Model String1,,,,,,EMR,Pre-configured Model String1,FALSE,1,,240,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Preconfigured Model String2,STRING,2,2445,TRUE,FALSE,TRUE,FALSE,,FALSE,,,,-1,Pre-configured Model String2,EMR Preconfigured Model String2,,,,,,EMR,Pre-configured Model String2,FALSE,1,,240,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Preconfigured Model String3,STRING,2,2446,TRUE,FALSE,TRUE,FALSE,,FALSE,,,,-1,Pre-configured Model String3,EMR Preconfigured Model String3,,,,,,EMR,Pre-configured Model String3,FALSE,1,,240,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Configuration Header ID,STRING,2,2447,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Configuration Header ID,EMR Configuration Header ID,,,,,,EMR,Configuration Header ID,FALSE,1,,240,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR HTS,STRING,2,2449,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,HTS,EMR HTS,,,,,,EMR,HTS,FALSE,1,,240,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Country of Origin,STRING,2,2450,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Country of Origin,EMR Country of Origin,,,,,,EMR,Country of Origin,FALSE,1,,240,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR ECCN,STRING,2,2451,TRUE,FALSE,TRUE,FALSE,,FALSE,,,,-1,ECCN,EMR ECCN,,,,,,EMR,ECCN,FALSE,1,,240,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Configurator Parent Model Name,STRING,2,2452,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Configurator Parent Model Name,EMR Configurator Parent Model Name,,,,,,EMR,Configurator Parent Model Name,FALSE,1,,240,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Preconfigured Child Model Name1,STRING,2,2454,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Pre-configured Child Model Name1,EMR Preconfigured Child Model Name1,,,,,,EMR,Pre-configured Child Model Name1,FALSE,1,,240,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Preconfigured Child Model Name2,STRING,2,2455,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Pre-configured Child Model Name2,EMR Preconfigured Child Model Name2,,,,,,EMR,Pre-configured Child Model Name2,FALSE,1,,240,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Preconfigured Child Model Name3,STRING,2,2456,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Pre-configured Child Model Name3,EMR Preconfigured Child Model Name3,,,,,,EMR,Pre-configured Child Model Name3,FALSE,1,,240,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Bore Size,STRING,1,2457,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Bore Size,EMR Bore Size,,,,,,EMR,Bore Size,FALSE,50,,50,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR  Cart Product Description,STRING,2,2458,TRUE,FALSE,TRUE,FALSE,,FALSE,,,,-1,Cart Product Description,EMR  Cart Product Description,,,,,,EMR,Cart Product Description,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Condenser Type,STRING,2,2477,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Condenser Type,EMR Condenser Type,,,,,,EMR,Condenser Type,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Crankcase Heater,STRING,2,2481,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Crankcase Heater,EMR Crankcase Heater,,,,,,EMR,Crankcase Heater,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Discharge Connection,STRING,2,2486,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Discharge Connection,EMR Discharge Connection,,,,,,EMR,Discharge Connection,TRUE,1,,500,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR LengthWidth mm,STRING,2,2498,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Length/Width (mm),EMR LengthWidth mm,,,,,,EMR,Length/Width (mm),TRUE,1,,15,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Max Working Pressure,STRING,2,2504,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Working Pressure,EMR Max Working Pressure,,,,,,EMR,Max Working Pressure,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Model number,STRING,2,2508,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Model Number,EMR Model number,,,,,,EMR,Model Number,TRUE,1,,1000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Mounting Assembly,STRING,2,2511,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Mounting Assembly,EMR Mounting Assembly,,,,,,EMR,Mounting Assembly,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Recording Options,STRING,1,2521,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Recording Options,EMR Recording Options,,,,,,EMR,Recording Options,TRUE,1,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Recording Options Lookup Table,TRUE,TRUE
EMR Schraeder Valve,STRING,2,2526,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Schraeder Valve,EMR Schraeder Valve,,,,,,EMR,Schraeder Valve,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Sight Glass,STRING,2,2528,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Sight Glass,EMR Sight Glass,,,,,,EMR,Sight Glass,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Suction Connection,STRING,2,2535,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Suction Connection,EMR Suction Connection,,,,,,EMR,Suction Connection,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Suction Size,STRING,1,2536,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Suction Size,EMR Suction Size,,,,,,EMR,Suction Size,TRUE,50,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Suction Size Lookup Table,TRUE,TRUE
EMR Tandem Ready,STRING,2,2539,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Tandem Ready,EMR Tandem Ready,,,,,,EMR,Tandem Ready,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Unit Size,STRING,2,2544,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Unit Size,EMR Unit Size,,,,,,EMR,Unit Size,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Plate Thickness,STRING,1,2561,TRUE,FALSE,TRUE,TRUE,,TRUE,,,,-1,Plate Thickness,EMR Plate Thickness,,,,,,EMR,Plate Thickness,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Plate Thickness Lookup Table,TRUE,TRUE
EMR Accessory Type,STRING,2,2568,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Accessory Type,EMR Accessory Type,,,,,,EMR,Accessory Type,TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Air Preparation Sub Type,STRING,2,2569,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Air Preparation Sub Type,EMR Air Preparation Sub Type,,,,,,EMR,Air Preparation Sub Type,TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Cylinder and Actuators Sub Type,STRING,2,2571,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Cylinder and Actuators Sub Type,EMR Cylinder and Actuators Sub Type,,,,,,EMR,Cylinder and Actuators Sub Type,TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Flow Range Cv,STRING,1,2572,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Flow Range (Cv),EMR Flow Range Cv,,,,,,EMR,Flow Range (Cv),TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Flow Range Cv Lookup Table,TRUE,TRUE
EMR Pneumatic Valve Sub Type,STRING,2,2573,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Pneumatic Valve Sub Type,EMR Pneumatic Valve Sub Type,,,,,,EMR,Pneumatic Valve Sub Type,TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Solenoid Valve Sub Type,STRING,2,2574,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Solenoid Valve Sub Type,EMR Solenoid Valve Sub Type,,,,,,EMR,Solenoid Valve Sub Type,TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Durometer,STRING,1,2575,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Durometer,EMR Durometer,,,,,,EMR,Durometer,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Durometer Lookup Table,TRUE,TRUE
EMR Model Type,STRING,1,2576,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Model Type,EMR Model Type,,,,,,EMR,Model Type,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Model Type Lookup Table,TRUE,TRUE
